Puzzle Number	 Algorithm	 Heuristic	 Solution Length	 Search Length	 Runtime
1            	 UCS      	 NA       	 2              	 5            	 0.0008509159088134766
1            	 GBFS     	 h1       	 2              	 2            	 0.0006568431854248047
1            	 GBFS     	 h2       	 2              	 2            	 0.0005109310150146484
1            	 GBFS     	 h3       	 2              	 2            	 0.0004711151123046875
1            	 GBFS     	 h4       	 2              	 2            	 0.00042128562927246094
1            	 ASTAR    	 h1       	 2              	 4            	 0.001020193099975586
1            	 ASTAR    	 h2       	 2              	 4            	 0.0010709762573242188
1            	 ASTAR    	 h3       	 2              	 2            	 0.0004189014434814453
1            	 ASTAR    	 h4       	 2              	 4            	 0.0010528564453125
2            	 UCS      	 NA       	 5              	 451          	 0.19289708137512207
2            	 GBFS     	 h1       	 5              	 9            	 0.0023109912872314453
2            	 GBFS     	 h2       	 5              	 9            	 0.0024602413177490234
2            	 GBFS     	 h3       	 5              	 9            	 0.0023109912872314453
2            	 GBFS     	 h4       	 5              	 9            	 0.0039348602294921875
2            	 ASTAR    	 h1       	 5              	 158          	 0.06600499153137207
2            	 ASTAR    	 h2       	 5              	 158          	 0.07114791870117188
2            	 ASTAR    	 h3       	 5              	 14           	 0.0068149566650390625
2            	 ASTAR    	 h4       	 5              	 142          	 0.06040000915527344
3            	 UCS      	 NA       	 38             	 412          	 0.06842899322509766
3            	 GBFS     	 h1       	 41             	 158          	 0.02708888053894043
3            	 GBFS     	 h2       	 41             	 158          	 0.02814507484436035
3            	 GBFS     	 h3       	 41             	 158          	 0.03472900390625
3            	 GBFS     	 h4       	 40             	 146          	 0.03515195846557617
3            	 ASTAR    	 h1       	 38             	 332          	 0.07257199287414551
3            	 ASTAR    	 h2       	 38             	 332          	 0.07219099998474121
3            	 ASTAR    	 h3       	 38             	 240          	 0.04796099662780762
3            	 ASTAR    	 h4       	 38             	 286          	 0.06318807601928711
4            	 UCS      	 NA       	 3              	 182          	 0.05837702751159668
4            	 GBFS     	 h1       	 3              	 3            	 0.0007779598236083984
4            	 GBFS     	 h2       	 3              	 3            	 0.000743865966796875
4            	 GBFS     	 h3       	 3              	 3            	 0.0008680820465087891
4            	 GBFS     	 h4       	 3              	 3            	 0.001313924789428711
4            	 ASTAR    	 h1       	 3              	 30           	 0.0125579833984375
4            	 ASTAR    	 h2       	 3              	 15           	 0.0038182735443115234
4            	 ASTAR    	 h3       	 3              	 3            	 0.0007832050323486328
4            	 ASTAR    	 h4       	 3              	 14           	 0.00864410400390625
5            	 UCS      	 NA       	 0              	 0            	 5.2928924560546875e-05
5            	 GBFS     	 h1       	 0              	 0            	 0.00020194053649902344
5            	 GBFS     	 h2       	 0              	 0            	 0.0001437664031982422
5            	 GBFS     	 h3       	 0              	 0            	 0.00018930435180664062
5            	 GBFS     	 h4       	 0              	 0            	 0.00016307830810546875
5            	 ASTAR    	 h1       	 0              	 0            	 0.0001800060272216797
5            	 ASTAR    	 h2       	 0              	 0            	 0.00013303756713867188
5            	 ASTAR    	 h3       	 0              	 0            	 0.00014781951904296875
5            	 ASTAR    	 h4       	 0              	 0            	 0.00013184547424316406
6            	 UCS      	 NA       	 3              	 194          	 0.09413981437683105
6            	 GBFS     	 h1       	 3              	 5            	 0.0021543502807617188
6            	 GBFS     	 h2       	 3              	 5            	 0.0021219253540039062
6            	 GBFS     	 h3       	 3              	 5            	 0.0025281906127929688
6            	 GBFS     	 h4       	 3              	 3            	 0.0011699199676513672
6            	 ASTAR    	 h1       	 3              	 75           	 0.0495150089263916
6            	 ASTAR    	 h2       	 3              	 75           	 0.054521799087524414
6            	 ASTAR    	 h3       	 3              	 5            	 0.002174854278564453
6            	 ASTAR    	 h4       	 3              	 47           	 0.028722047805786133
7            	 UCS      	 NA       	 4              	 188          	 0.040776968002319336
7            	 GBFS     	 h1       	 4              	 15           	 0.00453495979309082
7            	 GBFS     	 h2       	 4              	 15           	 0.004528999328613281
7            	 GBFS     	 h3       	 4              	 15           	 0.005238056182861328
7            	 GBFS     	 h4       	 4              	 15           	 0.004860877990722656
7            	 ASTAR    	 h1       	 4              	 101          	 0.03278994560241699
7            	 ASTAR    	 h2       	 4              	 101          	 0.035611867904663086
7            	 ASTAR    	 h3       	 4              	 20           	 0.006161212921142578
7            	 ASTAR    	 h4       	 4              	 101          	 0.035967111587524414
8            	 UCS      	 NA       	 6              	 119          	 0.018752098083496094
8            	 GBFS     	 h1       	 6              	 39           	 0.011382818222045898
8            	 GBFS     	 h2       	 6              	 39           	 0.009881019592285156
8            	 GBFS     	 h3       	 6              	 39           	 0.010223865509033203
8            	 GBFS     	 h4       	 6              	 39           	 0.013229131698608398
8            	 ASTAR    	 h1       	 6              	 113          	 0.02715587615966797
8            	 ASTAR    	 h2       	 6              	 113          	 0.02748394012451172
8            	 ASTAR    	 h3       	 6              	 89           	 0.024051904678344727
8            	 ASTAR    	 h4       	 6              	 112          	 0.0287020206451416
9            	 UCS      	 NA       	 None           	 27           	 0.0029058456420898438
9            	 GBFS     	 h1       	 None           	 27           	 0.005023956298828125
9            	 GBFS     	 h2       	 None           	 27           	 0.004580020904541016
9            	 GBFS     	 h3       	 None           	 27           	 0.004622697830200195
9            	 GBFS     	 h4       	 None           	 27           	 0.004971027374267578
9            	 ASTAR    	 h1       	 None           	 27           	 0.004682064056396484
9            	 ASTAR    	 h2       	 None           	 27           	 0.0044901371002197266
9            	 ASTAR    	 h3       	 None           	 27           	 0.00458526611328125
9            	 ASTAR    	 h4       	 None           	 27           	 0.00587010383605957
