Puzzle Number	 Algorithm	 Heuristic	 Solution Length	 Search Length	 Runtime
1            	 UCS      	 NA       	 2              	 5            	 0.0012049674987792969
1            	 GBFS     	 h1       	 2              	 2            	 0.0008058547973632812
1            	 GBFS     	 h2       	 2              	 2            	 0.0006470680236816406
1            	 GBFS     	 h3       	 2              	 2            	 0.0005629062652587891
1            	 GBFS     	 h4       	 2              	 2            	 0.0005800724029541016
1            	 ASTAR    	 h1       	 2              	 4            	 0.001104116439819336
1            	 ASTAR    	 h2       	 2              	 4            	 0.0009758472442626953
1            	 ASTAR    	 h3       	 2              	 2            	 0.0005898475646972656
1            	 ASTAR    	 h4       	 2              	 4            	 0.0007941722869873047
2            	 UCS      	 NA       	 5              	 451          	 0.18628597259521484
2            	 GBFS     	 h1       	 5              	 9            	 0.0025238990783691406
2            	 GBFS     	 h2       	 5              	 9            	 0.0023298263549804688
2            	 GBFS     	 h3       	 5              	 9            	 0.0024063587188720703
2            	 GBFS     	 h4       	 5              	 6            	 0.0018281936645507812
2            	 ASTAR    	 h1       	 5              	 158          	 0.06750369071960449
2            	 ASTAR    	 h2       	 5              	 158          	 0.06309914588928223
2            	 ASTAR    	 h3       	 5              	 14           	 0.0035741329193115234
2            	 ASTAR    	 h4       	 5              	 88           	 0.03934001922607422
3            	 UCS      	 NA       	 38             	 412          	 0.06173896789550781
3            	 GBFS     	 h1       	 41             	 158          	 0.026519060134887695
3            	 GBFS     	 h2       	 41             	 158          	 0.028455018997192383
3            	 GBFS     	 h3       	 41             	 158          	 0.030582666397094727
3            	 GBFS     	 h4       	 40             	 146          	 0.029115915298461914
3            	 ASTAR    	 h1       	 38             	 332          	 0.07839298248291016
3            	 ASTAR    	 h2       	 38             	 332          	 0.0737919807434082
3            	 ASTAR    	 h3       	 38             	 240          	 0.05070686340332031
3            	 ASTAR    	 h4       	 38             	 286          	 0.06975293159484863
4            	 UCS      	 NA       	 3              	 182          	 0.059831857681274414
4            	 GBFS     	 h1       	 3              	 3            	 0.0007932186126708984
4            	 GBFS     	 h2       	 3              	 3            	 0.0007266998291015625
4            	 GBFS     	 h3       	 3              	 3            	 0.0008800029754638672
4            	 GBFS     	 h4       	 3              	 3            	 0.0008389949798583984
4            	 ASTAR    	 h1       	 3              	 30           	 0.011107921600341797
4            	 ASTAR    	 h2       	 3              	 15           	 0.005743980407714844
4            	 ASTAR    	 h3       	 3              	 3            	 0.0016062259674072266
4            	 ASTAR    	 h4       	 3              	 14           	 0.007239103317260742
5            	 UCS      	 NA       	 0              	 0            	 3.719329833984375e-05
5            	 GBFS     	 h1       	 0              	 0            	 0.00013875961303710938
5            	 GBFS     	 h2       	 0              	 0            	 8.0108642578125e-05
5            	 GBFS     	 h3       	 0              	 0            	 0.00010204315185546875
5            	 GBFS     	 h4       	 0              	 0            	 0.00011205673217773438
5            	 ASTAR    	 h1       	 0              	 0            	 8.392333984375e-05
5            	 ASTAR    	 h2       	 0              	 0            	 7.200241088867188e-05
5            	 ASTAR    	 h3       	 0              	 0            	 7.677078247070312e-05
5            	 ASTAR    	 h4       	 0              	 0            	 0.00010895729064941406
6            	 UCS      	 NA       	 3              	 194          	 0.31130170822143555
6            	 GBFS     	 h1       	 3              	 5            	 0.007256031036376953
6            	 GBFS     	 h2       	 3              	 5            	 0.003843069076538086
6            	 GBFS     	 h3       	 3              	 5            	 0.003222942352294922
6            	 GBFS     	 h4       	 3              	 3            	 0.01161813735961914
6            	 ASTAR    	 h1       	 3              	 75           	 0.0661931037902832
6            	 ASTAR    	 h2       	 3              	 75           	 0.052726030349731445
6            	 ASTAR    	 h3       	 3              	 5            	 0.002146005630493164
