Puzzle Number	 Algorithm	 Heuristic	 Solution Length	 Search Length	 Runtime
1            	 UCS      	 NA       	 2              	 5            	 0.00021314620971679688
1            	 GBFS     	 h1       	 2              	 2            	 0.00011205673217773438
1            	 GBFS     	 h2       	 2              	 2            	 9.512901306152344e-05
1            	 GBFS     	 h3       	 2              	 2            	 9.083747863769531e-05
1            	 GBFS     	 h4       	 2              	 2            	 9.393692016601562e-05
1            	 ASTAR    	 h1       	 2              	 4            	 0.0002219676971435547
1            	 ASTAR    	 h2       	 2              	 4            	 0.00024700164794921875
1            	 ASTAR    	 h3       	 2              	 2            	 8.7738037109375e-05
1            	 ASTAR    	 h4       	 2              	 4            	 0.0002269744873046875
2            	 UCS      	 NA       	 5              	 451          	 0.07267999649047852
2            	 GBFS     	 h1       	 5              	 9            	 0.0008628368377685547
2            	 GBFS     	 h2       	 5              	 9            	 0.0008308887481689453
2            	 GBFS     	 h3       	 5              	 9            	 0.0008392333984375
2            	 GBFS     	 h4       	 5              	 9            	 0.0009300708770751953
2            	 ASTAR    	 h1       	 5              	 158          	 0.02261185646057129
2            	 ASTAR    	 h2       	 5              	 158          	 0.021882057189941406
2            	 ASTAR    	 h3       	 5              	 14           	 0.0013070106506347656
2            	 ASTAR    	 h4       	 5              	 142          	 0.0209500789642334
3            	 UCS      	 NA       	 38             	 412          	 0.023941755294799805
3            	 GBFS     	 h1       	 41             	 158          	 0.009007692337036133
3            	 GBFS     	 h2       	 41             	 158          	 0.00903010368347168
3            	 GBFS     	 h3       	 41             	 158          	 0.009107351303100586
3            	 GBFS     	 h4       	 40             	 146          	 0.009777069091796875
3            	 ASTAR    	 h1       	 38             	 332          	 0.02809596061706543
3            	 ASTAR    	 h2       	 38             	 332          	 0.027930021286010742
3            	 ASTAR    	 h3       	 38             	 240          	 0.01759791374206543
3            	 ASTAR    	 h4       	 38             	 286          	 0.023607969284057617
4            	 UCS      	 NA       	 3              	 182          	 0.023618221282958984
4            	 GBFS     	 h1       	 3              	 3            	 0.0002906322479248047
4            	 GBFS     	 h2       	 3              	 3            	 0.0002567768096923828
4            	 GBFS     	 h3       	 3              	 3            	 0.0002720355987548828
4            	 GBFS     	 h4       	 3              	 3            	 0.0002827644348144531
4            	 ASTAR    	 h1       	 3              	 30           	 0.0035839080810546875
4            	 ASTAR    	 h2       	 3              	 15           	 0.0013089179992675781
4            	 ASTAR    	 h3       	 3              	 3            	 0.000286102294921875
4            	 ASTAR    	 h4       	 3              	 14           	 0.0012440681457519531
5            	 UCS      	 NA       	 0              	 0            	 1.0013580322265625e-05
5            	 GBFS     	 h1       	 0              	 0            	 1.4781951904296875e-05
5            	 GBFS     	 h2       	 0              	 0            	 1.4066696166992188e-05
5            	 GBFS     	 h3       	 0              	 0            	 1.4066696166992188e-05
5            	 GBFS     	 h4       	 0              	 0            	 1.3828277587890625e-05
5            	 ASTAR    	 h1       	 0              	 0            	 1.3113021850585938e-05
5            	 ASTAR    	 h2       	 0              	 0            	 1.4066696166992188e-05
5            	 ASTAR    	 h3       	 0              	 0            	 1.4066696166992188e-05
5            	 ASTAR    	 h4       	 0              	 0            	 1.2874603271484375e-05
6            	 UCS      	 NA       	 3              	 194          	 0.03491997718811035
6            	 GBFS     	 h1       	 3              	 5            	 0.0007929801940917969
6            	 GBFS     	 h2       	 3              	 5            	 0.0008099079132080078
6            	 GBFS     	 h3       	 3              	 5            	 0.0008060932159423828
6            	 GBFS     	 h4       	 3              	 3            	 0.00044798851013183594
6            	 ASTAR    	 h1       	 3              	 75           	 0.01753997802734375
6            	 ASTAR    	 h2       	 3              	 75           	 0.017759084701538086
6            	 ASTAR    	 h3       	 3              	 5            	 0.0007739067077636719
6            	 ASTAR    	 h4       	 3              	 47           	 0.010118961334228516
7            	 UCS      	 NA       	 4              	 188          	 0.01646113395690918
7            	 GBFS     	 h1       	 4              	 15           	 0.0015988349914550781
7            	 GBFS     	 h2       	 4              	 15           	 0.0015857219696044922
7            	 GBFS     	 h3       	 4              	 15           	 0.0015881061553955078
7            	 GBFS     	 h4       	 4              	 15           	 0.0016782283782958984
7            	 ASTAR    	 h1       	 4              	 101          	 0.011826038360595703
7            	 ASTAR    	 h2       	 4              	 101          	 0.011904001235961914
7            	 ASTAR    	 h3       	 4              	 20           	 0.002064943313598633
7            	 ASTAR    	 h4       	 4              	 101          	 0.012192010879516602
8            	 UCS      	 NA       	 6              	 119          	 0.00718998908996582
8            	 GBFS     	 h1       	 6              	 39           	 0.003509044647216797
8            	 GBFS     	 h2       	 6              	 39           	 0.003591775894165039
8            	 GBFS     	 h3       	 6              	 39           	 0.0037441253662109375
8            	 GBFS     	 h4       	 6              	 39           	 0.0038220882415771484
8            	 ASTAR    	 h1       	 6              	 113          	 0.009288787841796875
8            	 ASTAR    	 h2       	 6              	 113          	 0.009076118469238281
8            	 ASTAR    	 h3       	 6              	 89           	 0.007585048675537109
8            	 ASTAR    	 h4       	 6              	 112          	 0.00983285903930664
9            	 UCS      	 NA       	 None           	 27           	 0.00115203857421875
9            	 GBFS     	 h1       	 None           	 27           	 0.0016510486602783203
9            	 GBFS     	 h2       	 None           	 27           	 0.0016410350799560547
9            	 GBFS     	 h3       	 None           	 27           	 0.001667022705078125
9            	 GBFS     	 h4       	 None           	 27           	 0.0017547607421875
9            	 ASTAR    	 h1       	 None           	 27           	 0.0015950202941894531
9            	 ASTAR    	 h2       	 None           	 27           	 0.001622915267944336
9            	 ASTAR    	 h3       	 None           	 27           	 0.0016508102416992188
9            	 ASTAR    	 h4       	 None           	 27           	 0.0017540454864501953
10           	 UCS      	 NA       	 4              	 377          	 0.06125903129577637
10           	 GBFS     	 h1       	 5              	 11           	 0.0014400482177734375
10           	 GBFS     	 h2       	 5              	 11           	 0.0014519691467285156
10           	 GBFS     	 h3       	 5              	 11           	 0.0015799999237060547
10           	 GBFS     	 h4       	 5              	 11           	 0.0016720294952392578
10           	 ASTAR    	 h1       	 4              	 92           	 0.015793800354003906
10           	 ASTAR    	 h2       	 4              	 92           	 0.015337228775024414
10           	 ASTAR    	 h3       	 4              	 12           	 0.001664876937866211
10           	 ASTAR    	 h4       	 4              	 92           	 0.01729583740234375
11           	 UCS      	 NA       	 41             	 2520         	 0.34105706214904785
11           	 GBFS     	 h1       	 55             	 1187         	 0.14815807342529297
11           	 GBFS     	 h2       	 55             	 1187         	 0.1438770294189453
11           	 GBFS     	 h3       	 55             	 1187         	 0.1475827693939209
11           	 GBFS     	 h4       	 54             	 898          	 0.12347698211669922
11           	 ASTAR    	 h1       	 41             	 2415         	 0.29827404022216797
11           	 ASTAR    	 h2       	 41             	 2415         	 0.3056340217590332
11           	 ASTAR    	 h3       	 41             	 2374         	 0.3669300079345703
11           	 ASTAR    	 h4       	 41             	 2350         	 0.345721960067749
12           	 UCS      	 NA       	 3              	 74           	 0.00546574592590332
12           	 GBFS     	 h1       	 3              	 3            	 0.0002818107604980469
12           	 GBFS     	 h2       	 3              	 3            	 0.0002512931823730469
12           	 GBFS     	 h3       	 3              	 3            	 0.00025177001953125
12           	 GBFS     	 h4       	 3              	 3            	 0.0002512931823730469
12           	 ASTAR    	 h1       	 3              	 13           	 0.0012240409851074219
12           	 ASTAR    	 h2       	 3              	 3            	 0.00025010108947753906
12           	 ASTAR    	 h3       	 3              	 3            	 0.0002448558807373047
12           	 ASTAR    	 h4       	 3              	 3            	 0.0002491474151611328
13           	 UCS      	 NA       	 6              	 738          	 0.12444186210632324
13           	 GBFS     	 h1       	 6              	 21           	 0.002318143844604492
13           	 GBFS     	 h2       	 6              	 21           	 0.002245187759399414
13           	 GBFS     	 h3       	 6              	 21           	 0.0023097991943359375
13           	 GBFS     	 h4       	 8              	 38           	 0.004918098449707031
13           	 ASTAR    	 h1       	 6              	 295          	 0.048261165618896484
13           	 ASTAR    	 h2       	 6              	 229          	 0.037657976150512695
13           	 ASTAR    	 h3       	 6              	 40           	 0.004519939422607422
13           	 ASTAR    	 h4       	 6              	 144          	 0.023527860641479492
14           	 UCS      	 NA       	 2              	 25           	 0.0016469955444335938
14           	 GBFS     	 h1       	 2              	 2            	 0.0002181529998779297
14           	 GBFS     	 h2       	 2              	 2            	 0.00017404556274414062
14           	 GBFS     	 h3       	 2              	 2            	 0.0001659393310546875
14           	 GBFS     	 h4       	 2              	 2            	 0.00016379356384277344
14           	 ASTAR    	 h1       	 2              	 7            	 0.000782012939453125
14           	 ASTAR    	 h2       	 2              	 2            	 0.00018358230590820312
14           	 ASTAR    	 h3       	 2              	 2            	 0.00016498565673828125
14           	 ASTAR    	 h4       	 2              	 2            	 0.00017189979553222656
15           	 UCS      	 NA       	 4              	 327          	 0.04635810852050781
15           	 GBFS     	 h1       	 4              	 4            	 0.0004999637603759766
15           	 GBFS     	 h2       	 4              	 4            	 0.0004558563232421875
15           	 GBFS     	 h3       	 4              	 4            	 0.0004630088806152344
15           	 GBFS     	 h4       	 4              	 4            	 0.0005180835723876953
15           	 ASTAR    	 h1       	 4              	 43           	 0.005406856536865234
15           	 ASTAR    	 h2       	 4              	 43           	 0.005622148513793945
15           	 ASTAR    	 h3       	 4              	 4            	 0.0004830360412597656
15           	 ASTAR    	 h4       	 4              	 43           	 0.006440877914428711
16           	 UCS      	 NA       	 0              	 0            	 1.5974044799804688e-05
16           	 GBFS     	 h1       	 0              	 0            	 2.6702880859375e-05
16           	 GBFS     	 h2       	 0              	 0            	 1.6927719116210938e-05
16           	 GBFS     	 h3       	 0              	 0            	 1.5974044799804688e-05
16           	 GBFS     	 h4       	 0              	 0            	 3.933906555175781e-05
16           	 ASTAR    	 h1       	 0              	 0            	 1.8835067749023438e-05
16           	 ASTAR    	 h2       	 0              	 0            	 3.1948089599609375e-05
16           	 ASTAR    	 h3       	 0              	 0            	 2.2172927856445312e-05
16           	 ASTAR    	 h4       	 0              	 0            	 1.8835067749023438e-05
17           	 UCS      	 NA       	 2              	 20           	 0.0017139911651611328
17           	 GBFS     	 h1       	 2              	 2            	 0.0002040863037109375
17           	 GBFS     	 h2       	 2              	 2            	 0.00018835067749023438
17           	 GBFS     	 h3       	 2              	 2            	 0.00018525123596191406
17           	 GBFS     	 h4       	 2              	 2            	 0.00019478797912597656
17           	 ASTAR    	 h1       	 2              	 8            	 0.001085042953491211
17           	 ASTAR    	 h2       	 2              	 8            	 0.0010721683502197266
17           	 ASTAR    	 h3       	 2              	 2            	 0.0001819133758544922
17           	 ASTAR    	 h4       	 2              	 7            	 0.0009801387786865234
18           	 UCS      	 NA       	 3              	 49           	 0.0037288665771484375
18           	 GBFS     	 h1       	 3              	 3            	 0.000286102294921875
18           	 GBFS     	 h2       	 3              	 3            	 0.00026988983154296875
18           	 GBFS     	 h3       	 3              	 3            	 0.00027108192443847656
18           	 GBFS     	 h4       	 3              	 3            	 0.0002770423889160156
18           	 ASTAR    	 h1       	 3              	 12           	 0.0012888908386230469
18           	 ASTAR    	 h2       	 3              	 3            	 0.00026106834411621094
18           	 ASTAR    	 h3       	 3              	 3            	 0.0002582073211669922
18           	 ASTAR    	 h4       	 3              	 3            	 0.0002760887145996094
19           	 UCS      	 NA       	 4              	 194          	 0.019964218139648438
19           	 GBFS     	 h1       	 4              	 8            	 0.0007839202880859375
19           	 GBFS     	 h2       	 4              	 8            	 0.0007727146148681641
19           	 GBFS     	 h3       	 4              	 8            	 0.0007832050323486328
19           	 GBFS     	 h4       	 5              	 6            	 0.0006091594696044922
19           	 ASTAR    	 h1       	 4              	 60           	 0.0067751407623291016
19           	 ASTAR    	 h2       	 4              	 60           	 0.006966114044189453
19           	 ASTAR    	 h3       	 4              	 8            	 0.0008082389831542969
19           	 ASTAR    	 h4       	 4              	 40           	 0.005073070526123047
20           	 UCS      	 NA       	 3              	 132          	 0.009800195693969727
20           	 GBFS     	 h1       	 3              	 6            	 0.0005810260772705078
20           	 GBFS     	 h2       	 3              	 6            	 0.0005440711975097656
20           	 GBFS     	 h3       	 3              	 6            	 0.0005588531494140625
20           	 GBFS     	 h4       	 3              	 6            	 0.0005800724029541016
20           	 ASTAR    	 h1       	 3              	 29           	 0.0029239654541015625
20           	 ASTAR    	 h2       	 3              	 29           	 0.0028841495513916016
20           	 ASTAR    	 h3       	 3              	 6            	 0.0005400180816650391
20           	 ASTAR    	 h4       	 3              	 29           	 0.0031728744506835938
21           	 UCS      	 NA       	 2              	 2            	 3.528594970703125e-05
21           	 GBFS     	 h1       	 2              	 2            	 5.1975250244140625e-05
21           	 GBFS     	 h2       	 2              	 2            	 4.792213439941406e-05
21           	 GBFS     	 h3       	 2              	 2            	 4.506111145019531e-05
21           	 GBFS     	 h4       	 2              	 2            	 4.1961669921875e-05
21           	 ASTAR    	 h1       	 2              	 2            	 4.100799560546875e-05
21           	 ASTAR    	 h2       	 2              	 2            	 4.1961669921875e-05
21           	 ASTAR    	 h3       	 2              	 2            	 4.100799560546875e-05
21           	 ASTAR    	 h4       	 2              	 2            	 4.100799560546875e-05
22           	 UCS      	 NA       	 5              	 753          	 0.18076395988464355
22           	 GBFS     	 h1       	 5              	 42           	 0.006079912185668945
22           	 GBFS     	 h2       	 5              	 42           	 0.005937814712524414
22           	 GBFS     	 h3       	 5              	 42           	 0.006131172180175781
22           	 GBFS     	 h4       	 5              	 20           	 0.002778768539428711
22           	 ASTAR    	 h1       	 5              	 249          	 0.051450252532958984
22           	 ASTAR    	 h2       	 5              	 249          	 0.05340576171875
22           	 ASTAR    	 h3       	 5              	 54           	 0.007812023162841797
