0 0 0 ..I...BBI.K.GHAAKLGHDDKLG..JEEFF.J..
1 1 0 ..I.K.BBI.K.GHAAKLGHDD.LG..JEEFF.J.. K99 
1 1 0 ..I..LBBI.KLGHAAK.GHDDK.G..JEEFF.J.. K99 L98 
1 1 0 ..I...BBI.K.GHAAKLGHDDKLG..JEE.FFJ.. K99 L98 F99 
1 1 0 ..I...BBI.K.G.AAKLGHDDKLGH.JEEFF.J.. K99 L98 F99 H99 
1 1 0 ..I...BBI.KLGHAAKLGHDDK.G..JEEFF.J.. K99 L99 F99 H99 
2 2 0 ..I.K.BBI.KLGHAAKLGHDD..G..JEEFF.J.. K99 L99 F99 H99 
2 2 0 ..I...BBI.KLG.AAKLGHDDK.GH.JEEFF.J.. K99 L99 F99 H99 
2 2 0 ..I...BBI.K.G.AAKLGHDDKLGH.JEE.FFJ.. K99 L99 F99 H99 
2 2 0 ..I...BBI.K..HAAKLGHDDKLG..JEEGFFJ.. K99 L99 F99 H99 G99 
2 2 0 ..I.K.BBI.K.GHAAKLGHDD.LG..JEE.FFJ.. K99 L99 F99 H99 G99 
2 2 0 ..I...BBI.KLGHAAKLGHDDK.G..JEE.FFJ.. K99 L99 F99 H99 G99 
2 2 0 ..I.K.BBI.K.GHAAKLGH.DDLG..JEEFF.J.. K99 L99 F99 H99 G99 D99 
2 2 0 ..I...BBI.K.GAA.KLGHDDKLGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
2 2 0 ..I.K.BBI.K.G.AAKLGHDD.LGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
2 2 0 ..I.KLBBI.KLGHAAK.GHDD..G..JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
2 2 0 ..I..LBBI.KLG.AAK.GHDDK.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
2 2 0 ..I..LBBI.KLGHAAK.GHDDK.G..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.KLGHAAKLGH..DDG..JEEFF.J.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I..LBBI.KLG.AAK.GHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I..LBBI.KL.HAAK.GHDDK.G..JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I.K.BBI.K..HAAKLGHDD.LG..JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I...BBI.K...AAKLGHDDKLGH.JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I...BBI.K.GAA.KLGHDDKLGH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I.K.BBI.K.GHAAKLGH.DDLG..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.KLG.AAKLGHDD..GH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLGHAAK.GHDD..G..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.K.G.AAKLGHDD.LGH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I...BBI.KLGAA.KLGHDDK.GH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.K.GAA.KLGHDD.LGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLGHAAK.GH.DD.G..JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I..LBBI.KLGAA.K.GHDDK.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.K.G.AAKLGH.DDLGH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I...BBI.KL.HAAKLGHDDK.G..JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I...BBI.KLG.AAKLGHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLGHAAK.GH..DDG..JEEFF.J.. K99 L98 F99 H99 G99 D98 A99 
3 3 0 ..I.K.BBI.KLGHAAKLGH.DD.G..JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.KLBBI.KLG.AAK.GHDD..GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 
3 3 0 ..I.K.BBI.KLGHAAKLGHDD..G..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
4 4 0 ..I.K.BBI.KLGHAAKLGH..DDG..JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 
4 4 0 ..I...BBI.KL..AAKLGHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 
4 4 0 ..I.K.BBI.KLGHAAKLGH.JDDG..JEEFF.... K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KLG.AAK.GH.DD.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KLGAA.K.GHDD..GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KLG.AAK.GH..DDGH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.KLG.AAKLGH..DDGH.JEEFF.J.. K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.KLBBI.KLGHAAK.GH.JDDG..JEEFF.... K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I..LBBI.KLGAA.K.GHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I...BBI.K..AA.KLGHDDKLGH.JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.K.BBI.KL.HAAKLGHDD..G..JEEGFFJ.. K99 L99 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.K.BBI.K...AAKLGHDD.LGH.JEEGFFJ.. K99 L99 F99 H99 G99 D98 A99 J99 
4 4 0 ..I.KLBBI.KLGHAAK.GH.DD.G..JEE.FFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K.G.AAKLGH.DDLGH.JEE.FFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K..HAAKLGH.DDLG..JEEGFFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.KLG.AAKLGHDD..GH.JEE.FFJ.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K.GAA.KLGH.DDLGH.JEEFF.J.. K99 L99 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.KLBBI.KL.HAAK.GHDD..G..JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I.K.BBI.K.GAA.KLGHDD.LGH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 J99 
4 4 0 ..I...BBI.K.AA..KLGHDDKLGH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.KLBBI.KLG.AAK.GHDD..GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I..LBBI.KL..AAK.GHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.K.BBI.KLG.AAKLGH.DD.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.K.BBI.KLGAA.KLGHDD..GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I...BBI.KLGAA.KLGHDDK.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.K.BBI.KLGHAAKLGH.DD.G..JEE.FFJ.. K99 L99 F99 H99 G99 D99 A98 J99 
4 4 0 ..I.KLBBI.KLGHAAK.GH..DDG..JEE.FFJ.. K99 L99 F99 H99 G99 D99 A98 J99 
5 5 0 ..I..LBBI.KLAA..K.GHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 
5 5 0 ......BBI.K.AAI.KLGHDDKLGH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 I99 
5 5 0 ..I.KLBBI.KL.HAAK.GH..DDG..JEEGFFJ.. K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.KLBBI.KLGHAAK.GH.JDDG..JEE..FF.. K99 L98 F98 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.K.BBI.KLGHAAKLGH.JDDG..JEE.FF... K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.KLBBI.KLGHAAK.GH.JDDG..JEE...FF. K99 L98 F97 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.K.BBI.KLGAA.KLGH..DDGH.JEEFF.J.. K99 L98 F97 H99 G99 D98 A99 J99 I99 
5 5 0 ..I.KLBBI.KLG.AAK.GH.JDDGH.JEEFF.... K99 L98 F97 H99 G99 D98 A99 J99 I99 
5 5 0 ..I...BBI.KLAA..KLGHDDK.GH.JEEGFFJ.. K99 L98 F97 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.KLBBI.KLGAA.K.GHDD..GH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.KLBBI.KLG.AAK.GH..DDGH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.KLBBI.KLGAA.K.GH..DDGH.JEEFF.J.. K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.KLBBI.KLGHAAK.GH.JDDG..JEE....FF K99 L98 F96 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.K.BBI.K..AA.KLGHDD.LGH.JEEGFFJ.. K99 L98 F96 H99 G99 D98 A99 J99 I99 
5 5 0 ..I.KLBBI.KL..AAK.GHDD..GH.JEEGFFJ.. K99 L98 F96 H99 G99 D98 A99 J99 I99 
5 5 0 ..I.K.BBI.K.AA..KLGHDD.LGH.JEEGFFJ.. K99 L98 F96 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.K.BBI.K...AAKLGH.DDLGH.JEEGFFJ.. K99 L98 F96 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.K.BBI.KLG.AAKLGH.DD.GH.JEE.FFJ.. K99 L98 F96 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.K.BBI.K.GAA.KLGH.DDLGH.JEE.FFJ.. K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I.KLBBI.KL.HAAK.GH.DD.G..JEEGFFJ.. K99 L98 F99 H99 G99 D99 A98 J99 I99 
5 5 0 ..I.K.BBI.KL.HAAKLGH..DDG..JEEGFFJ.. K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I..LBBI.KL.AA.K.GHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D98 A98 J99 I99 
5 5 0 ..I...BBI.KL.AA.KLGHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D98 A99 J99 I99 
5 5 0 ..I.K.BBI.KLGAA.KLGH.DD.GH.JEEFF.J.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KL.HAAKLGH.DD.G..JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KLGHAAKLGH.JDDG..JEE...FF. K99 L98 F97 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KLGHAAKLGH.JDDG..JEE....FF K99 L98 F96 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.KLBBI.KLGHAAK.GH.JDDG..JEE.FF... K99 L98 F99 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KLGHAAKLGH.JDDG..JEE..FF.. K99 L98 F98 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.KLBBI.KLGAA.K.GH.DD.GH.JEEFF.J.. K99 L98 F98 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KL..AAKLGHDD..GH.JEEGFFJ.. K99 L98 F98 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KLGAA.KLGHDD..GH.JEE.FFJ.. K99 L98 F98 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KLG.AAKLGH.JDDGH.JEEFF.... K99 L98 F98 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.K.BBI.KLG.AAKLGH..DDGH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
5 5 0 ..I.KLBBI.KLG.AAK.GH.DD.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.KLBBI.KL.HAAK.GH.JDDG..JEEGFF... K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.K.BBI.KLG.AAKLGH.JDDGH.JEE.FF... K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.K.BBI.KL..AAKLGH..DDGH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.K.BBI.KLGAA.KLGH.JDDGH.JEEFF.... K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.K.BBI.KLGAA.KLGH..DDGH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.KLBBI.KLGAA.K.GH.DD.GH.JEE.FFJ.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ......BBI.KLAAI.KLGHDDK.GH.JEEGFFJ.. K99 L98 F99 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.KLBBI.KLG.AAK.GH.JDDGH.JEE....FF K99 L98 F96 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.K.BBI.KL.HAAKLGH.JDDG..JEEG..FF. K99 L98 F96 H99 G99 D99 A99 J99 I99 
6 6 0 ..I.K.BBI.KLG.AAKLG..JDDGH.JEE.H.FF. K99 L98 F96 H98 G99 D99 A99 J99 I99 
6 6 0 ..I.K.BBI.KLGAAJKLGH.JDDGH..EEFF.... K99 L98 F96 H98 G99 D99 A99 J98 I99 
6 6 0 ..I.KLBBI.KLGHAAK.GH..DDG..JEE...JFF K99 L98 F96 H98 G99 D99 A99 J98 I99 
6 6 0 ..I.K.BBIJKLGAAJKLGH..DDGH..EEFF.... K99 L98 F96 H98 G99 D99 A99 J97 I99 
6 6 0 ..I.KLBBI.KLG.AAK.G..JDDGH.JEE.HFF.. K99 L98 F96 H98 G99 D99 A99 J97 I99 
6 6 0 ..I.K.BBI.KL.AA.KLGHDD..GH.JEEGFFJ.. K99 L99 F96 H98 G99 D99 A99 J97 I99 
6 6 0 ..I.K.BBI.KLG.AAKLGH.JDDGH.JEE...FF. K99 L99 F96 H99 G99 D99 A99 J97 I99 
6 6 0 ..I.K.BBI.KLG.AAKLG..JDDGH.JEE.H..FF K99 L99 F96 H98 G99 D99 A99 J97 I99 
6 6 0 ....K.BBI.K.AAI.KLGHDD.LGH.JEEGFFJ.. K99 L99 F96 H98 G99 D99 A99 J97 I99 
6 6 0 ..I.K.BBI.K.AA..KLGH.DDLGH.JEEGFFJ.. K99 L99 F96 H98 G99 D99 A99 J97 I99 
6 6 0 ..IJKLBBIJKLGAA.K.GH..DDGH..EEFF.... K99 L99 F96 H98 G99 D99 A99 J96 I99 
6 6 0 ..I.KLBBI.KLAA..K.GHDD..GH.JEEGFFJ.. K99 L99 F96 H98 G99 D99 A98 J96 I99 
6 6 0 ..I.KLBBI.KL..AAK.GH.DD.GH.JEEGFFJ.. K99 L98 F96 H98 G99 D99 A98 J96 I99 
6 6 0 ..I.KLBBI.KL.HAAK.GH.JDDG..JEEG...FF K99 L98 F96 H98 G99 D99 A98 J96 I99 
6 6 0 ..I.K.BBI.KLG.AAKLGH.JDDGH.JEE..FF.. K99 L98 F96 H99 G99 D99 A98 J96 I99 
6 6 0 ..I.K.BBI.KL..AAKLGH.DD.GH.JEEGFFJ.. K99 L99 F96 H99 G99 D99 A98 J96 I99 
6 6 0 ..I.KLBBI.KLGAAJK.GH.JDDGH..EEFF.... K99 L99 F96 H99 G99 D99 A98 J98 I99 
