0 0 0 BBB..MCCDD.MAAKL.MJ.KLEEJ.GG..JHHHII
1 1 0 ..BBBMCCDD.MAAKL.MJ.KLEEJ.GG..JHHHII B2 
1 1 0 BBB..MCC.DDMAAKL.MJ.KLEEJ.GG..JHHHII B2 D99 
1 1 0 BBB..MCCDD.MAAKL.MJ.KLEEJGG...JHHHII B2 D99 G99 
1 1 0 .BBB.MCCDD.MAAKL.MJ.KLEEJ.GG..JHHHII B3 D99 G99 
1 1 0 BBB..MCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII B3 D99 G99 
1 1 0 BBB..MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII B3 D99 G98 
2 2 0 .BBB.MCCDD.MAAKL.MJ.KLEEJGG...JHHHII B3 D99 G99 
2 2 0 BBB..MCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII B3 D99 G99 K99 
2 2 0 BBB..MCC.DDMAAKL.MJ.KLEEJ..GG.JHHHII B3 D99 G99 K99 
2 2 0 BBB..MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII B3 D99 G99 K99 
2 2 0 BBB..M.CCDDMAAKL.MJ.KLEEJ.GG..JHHHII B3 D99 G99 K99 C99 
2 2 0 ..BBBMCC.DDMAAKL.MJ.KLEEJ.GG..JHHHII B2 D99 G99 K99 C99 
2 2 0 BBB..MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII B2 D99 G99 K99 C99 L99 
2 2 0 ..BBBMCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII B2 D99 G99 K99 C99 L99 
2 2 0 BBB..MCCDD.MAAK..MJ.KLEEJGGL..JHHHII B2 D99 G99 K99 C99 L99 
2 2 0 BBB..MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII B2 D99 G99 K99 C99 L99 
2 2 0 BBB..MCC.DDMAAKL.MJ.KLEEJ...GGJHHHII B2 D99 G98 K99 C99 L99 
2 2 0 .BBB.MCCDD.MAAKL.MJ.KLEEJ...GGJHHHII B3 D99 G98 K99 C99 L99 
2 2 0 BBB..MCC.DDMAAKL.MJ.KLEEJGG...JHHHII B3 D99 G99 K99 C99 L99 
2 2 0 .BBB.MCC.DDMAAKL.MJ.KLEEJ.GG..JHHHII B3 D99 G99 K99 C99 L99 
2 2 0 ..BBBMCCDD.MAAKL.MJ.KLEEJGG...JHHHII B2 D99 G99 K99 C99 L99 
2 2 0 .BBB.MCCDD.MAAKL.MJ.KLEEJ..GG.JHHHII B2 D99 G99 K99 C99 L99 
2 2 0 ..BBBMCCDD.MAAKL.MJ.KLEEJ...GGJHHHII B2 D99 G98 K99 C99 L99 
3 3 0 ..BBBMCCDD.MAAK..MJ.KLEEJGGL..JHHHII B2 D99 G98 K99 C99 L99 
3 3 0 ..BBBMCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII B2 D99 G98 K99 C99 L99 
3 3 0 .BBB.MCC.DDMAAKL.MJ.KLEEJ..GG.JHHHII B3 D99 G98 K99 C99 L99 
3 3 0 BBB..MCCDD.M.AAL.MJ.KLEEJ.KGG.JHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..MCC.DDMAA.L.MJ.KLEEJ.KGG.JHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..MCCKDDMAAKL.MJ..LEEJGG...JHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.MCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..M.CCDDMAAKL.MJ.KLEEJ...GGJHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..MCC.DDMAAK..MJ.KLEEJ..LGGJHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.MCCDD.MAAK..MJ.KLEEJ..LGGJHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..M.CCDDMAAKL.MJ.KLEEJGG...JHHHII B3 D99 G99 K99 C99 L99 A99 
3 3 0 ..BBBMCC.DDMAAKL.MJ.KLEEJ...GGJHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.MCC.DDMAAKL.MJ.KLEEJ...GGJHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 ..BBBMCCDD.MAAK..MJ.KLEEJ..LGGJHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..MCC.DDMAAK..MJ.KLEEJGGL..JHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.M.CCDDMAAKL.MJ.KLEEJ.GG..JHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..MCCDD.MAA...MJ.KLEEJ.KLGGJHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.MCCKDDMAAKL.MJ..LEEJ.GG..JHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 ..BBBMCCKDDMAAKL.MJ..LEEJ.GG..JHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 ..BBBMCCDD.MAA.L.MJ.KLEEJ.KGG.JHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.MCCDD.MAAK..MJ.KLEEJGGL..JHHHII B3 D99 G98 K99 C99 L99 A99 
3 3 0 ..BBBM.CCDDMAAKL.MJ.KLEEJ.GG..JHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.MCC.DDMAAKL.MJ.KLEEJGG...JHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..MCC.DDMAA.L.MJ.KLEEJ.K.GGJHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 .BBB.MCCDD.MAA.L.MJ.KLEEJ.K.GGJHHHII B2 D99 G98 K99 C99 L99 A99 
3 3 0 BBB..MCCKDDMAAKL.MJ..LEEJ...GGJHHHII B2 D99 G98 K99 C99 L99 A99 
